addr,input_hex,input_value,output_hex,output_value
438,36C0,0.710938,2E83,0.476746
439,36E0,0.714844,2EB8,0.479980
440,3700,0.718750,2EED,0.483215
441,3720,0.722656,2F23,0.486511
442,3740,0.726562,2F58,0.489746
443,3760,0.730469,2F8D,0.492981
444,3780,0.734375,2FC3,0.496277
445,37A0,0.738281,2FF8,0.499512
446,37C0,0.742188,3017,0.502808
447,37E0,0.746094,3032,0.506104
448,3800,0.750000,304D,0.509399
449,3820,0.753906,3068,0.512695
450,3840,0.757812,3083,0.515991
451,3860,0.761719,309E,0.519287
452,3880,0.765625,30B9,0.522583
453,38A0,0.769531,30D4,0.525879
454,38C0,0.773438,30EF,0.529175
455,38E0,0.777344,310B,0.532593
456,3900,0.781250,3126,0.535889
457,3920,0.785156,3141,0.539185
458,3940,0.789062,315D,0.542603
459,3960,0.792969,3178,0.545898
460,3980,0.796875,3194,0.549316
461,39A0,0.800781,31AF,0.552612
462,39C0,0.804688,31CB,0.556030
463,39E0,0.808594,31E7,0.559448
464,3A00,0.812500,3202,0.562744
465,3A20,0.816406,321E,0.566162
466,3A40,0.820312,323A,0.569580
467,3A60,0.824219,3256,0.572998
468,3A80,0.828125,3271,0.576294
469,3AA0,0.832031,328D,0.579712
470,3AC0,0.835938,32A9,0.583130
471,3AE0,0.839844,32C5,0.586548
472,3B00,0.843750,32E1,0.589966
473,3B20,0.847656,32FD,0.593384
474,3B40,0.851562,3319,0.596802
475,3B60,0.855469,3336,0.600342
476,3B80,0.859375,3352,0.603760
477,3BA0,0.863281,336E,0.607178
478,3BC0,0.867188,338A,0.610596
479,3BE0,0.871094,33A7,0.614136
480,3C00,0.875000,33C3,0.617554
481,3C20,0.878906,33DF,0.620972
482,3C40,0.882812,33FC,0.624512
483,3C60,0.886719,3418,0.627930
484,3C80,0.890625,3435,0.631470
485,3CA0,0.894531,3452,0.635010
486,3CC0,0.898438,346E,0.638428
487,3CE0,0.902344,348B,0.641968
488,3D00,0.906250,34A8,0.645508
489,3D20,0.910156,34C4,0.648926
490,3D40,0.914062,34E1,0.652466
491,3D60,0.917969,34FE,0.656006
492,3D80,0.921875,351B,0.659546
493,3DA0,0.925781,3538,0.663086
494,3DC0,0.929688,3555,0.666626
495,3DE0,0.933594,3572,0.670166
496,3E00,0.937500,358F,0.673706
497,3E20,0.941406,35AC,0.677246
498,3E40,0.945312,35C9,0.680786
499,3E60,0.949219,35E6,0.684326
500,3E80,0.953125,3603,0.687866
501,3EA0,0.957031,3621,0.691528
502,3EC0,0.960938,363E,0.695068
503,3EE0,0.964844,365B,0.698608
504,3F00,0.968750,3679,0.702271
505,3F20,0.972656,3696,0.705811
506,3F40,0.976562,36B3,0.709351
507,3F60,0.980469,36D1,0.713013
508,3F80,0.984375,36EE,0.716553
509,3FA0,0.988281,370C,0.720215
510,3FC0,0.992188,372A,0.723877
511,3FE0,0.996094,3747,0.727417
512,4000,1.000000,3765,0.731079
513,4020,1.007812,37A0,0.738281
514,4040,1.015625,37DC,0.745605
515,4060,1.023438,3818,0.752930
516,4080,1.031250,3854,0.760254
517,40A0,1.039062,3890,0.767578
518,40C0,1.046875,38CC,0.774902
519,40E0,1.054688,3908,0.782227
520,4100,1.062500,3945,0.789673
521,4120,1.070312,3981,0.796997
522,4140,1.078125,39BE,0.804443
523,4160,1.085938,39FB,0.811890
524,4180,1.093750,3A38,0.819336
525,41A0,1.101562,3A75,0.826782
526,41C0,1.109375,3AB2,0.834229
527,41E0,1.117188,3AF0,0.841797
528,4200,1.125000,3B2D,0.849243
529,4220,1.132812,3B6B,0.856812
530,4240,1.140625,3BA9,0.864380
531,4260,1.148438,3BE7,0.871948
532,4280,1.156250,3C25,0.879517
533,42A0,1.164062,3C63,0.887085
534,42C0,1.171875,3CA1,0.894653
535,42E0,1.179688,3CE0,0.902344
536,4300,1.187500,3D1F,0.910034
537,4320,1.195312,3D5D,0.917603
538,4340,1.203125,3D9C,0.925293
539,4360,1.210938,3DDB,0.932983
540,4380,1.218750,3E1A,0.940674
541,43A0,1.226562,3E59,0.948364
542,43C0,1.234375,3E99,0.956177
543,43E0,1.242188,3ED8,0.963867
544,4400,1.250000,3F18,0.971680
545,4420,1.257812,3F57,0.979370
546,4440,1.265625,3F97,0.987183
547,4460,1.273438,3FD7,0.994995
548,4480,1.281250,400B,1.002686
549,44A0,1.289062,402B,1.010498
550,44C0,1.296875,404C,1.018555
551,44E0,1.304688,406C,1.026367
552,4500,1.312500,408C,1.034180
553,4520,1.320312,40AC,1.041992
554,4540,1.328125,40CC,1.049805
555,4560,1.335938,40ED,1.057861
556,4580,1.343750,410D,1.065674
557,45A0,1.351562,412E,1.073730
558,45C0,1.359375,414E,1.081543
559,45E0,1.367188,416F,1.089600
560,4600,1.375000,418F,1.097412
561,4620,1.382812,41B0,1.105469
562,4640,1.390625,41D1,1.113525
563,4660,1.398438,41F1,1.121338
564,4680,1.406250,4212,1.129395
565,46A0,1.414062,4233,1.137451
566,46C0,1.421875,4254,1.145508
567,46E0,1.429688,4275,1.153564
568,4700,1.437500,4296,1.161621
569,4720,1.445312,42B7,1.169678
570,4740,1.453125,42D8,1.177734
571,4760,1.460938,42F9,1.185791
572,4780,1.468750,431A,1.193848
573,47A0,1.476562,433B,1.201904
574,47C0,1.484375,435D,1.210205
575,47E0,1.492188,437E,1.218262
576,4800,1.500000,439F,1.226318
577,4820,1.507812,43C1,1.234619
578,4840,1.515625,43E2,1.242676
579,4860,1.523438,4403,1.250732
580,4880,1.531250,4425,1.259033
581,48A0,1.539062,4446,1.267090
582,48C0,1.546875,4468,1.275391
583,48E0,1.554688,4489,1.283447
584,4900,1.562500,44AB,1.291748
585,4920,1.570312,44CD,1.300049
586,4940,1.578125,44EE,1.308105
587,4960,1.585938,4510,1.316406
588,4980,1.593750,4532,1.324707
589,49A0,1.601562,4553,1.332764
590,49C0,1.609375,4575,1.341064
591,49E0,1.617188,4597,1.349365
592,4A00,1.625000,45B9,1.357666
593,4A20,1.632812,45DB,1.365967
594,4A40,1.640625,45FD,1.374268
595,4A60,1.648438,461F,1.382568
596,4A80,1.656250,4641,1.390869
597,4AA0,1.664062,4663,1.399170
598,4AC0,1.671875,4685,1.407471
599,4AE0,1.679688,46A7,1.415771
600,4B00,1.687500,46C9,1.424072
601,4B20,1.695312,46EB,1.432373
602,4B40,1.703125,470D,1.440674
603,4B60,1.710938,472F,1.448975
604,4B80,1.718750,4752,1.457520
605,4BA0,1.726562,4774,1.465820
606,4BC0,1.734375,4796,1.474121
607,4BE0,1.742188,47B8,1.482422
608,4C00,1.750000,47DB,1.490967
609,4C20,1.757812,47FD,1.499268
610,4C40,1.765625,481F,1.507568
611,4C60,1.773438,4842,1.516113
612,4C80,1.781250,4864,1.524414
613,4CA0,1.789062,4887,1.532959
614,4CC0,1.796875,48A9,1.541260
615,4CE0,1.804688,48CC,1.549805
616,4D00,1.812500,48EE,1.558105
617,4D20,1.820312,4911,1.566650
618,4D40,1.828125,4933,1.574951
619,4D60,1.835938,4956,1.583496
620,4D80,1.843750,4978,1.591797
621,4DA0,1.851562,499B,1.600342
622,4DC0,1.859375,49BE,1.608887
623,4DE0,1.867188,49E0,1.617188
624,4E00,1.875000,4A03,1.625732
625,4E20,1.882812,4A26,1.634277
626,4E40,1.890625,4A48,1.642578
627,4E60,1.898438,4A6B,1.651123
628,4E80,1.906250,4A8E,1.659668
629,4EA0,1.914062,4AB0,1.667969
630,4EC0,1.921875,4AD3,1.676514
631,4EE0,1.929688,4AF6,1.685059
632,4F00,1.937500,4B19,1.693604
633,4F20,1.945312,4B3B,1.701904
634,4F40,1.953125,4B5E,1.710449
635,4F60,1.960938,4B81,1.718994
636,4F80,1.968750,4BA4,1.727539
637,4FA0,1.976562,4BC7,1.736084
638,4FC0,1.984375,4BEA,1.744629
639,4FE0,1.992188,4C0D,1.753174
640,5000,2.000000,4C2F,1.761475
641,5020,2.015625,4C75,1.778564
642,5040,2.031250,4CBB,1.795654
643,5060,2.046875,4D01,1.812744
644,5080,2.062500,4D47,1.829834
645,50A0,2.078125,4D8D,1.846924
646,50C0,2.093750,4DD3,1.864014
647,50E0,2.109375,4E19,1.881104
648,5100,2.125000,4E5F,1.898193
649,5120,2.140625,4EA6,1.915527
650,5140,2.156250,4EEC,1.932617
651,5160,2.171875,4F32,1.949707
652,5180,2.187500,4F78,1.966797
653,51A0,2.203125,4FBE,1.983887
654,51C0,2.218750,5002,2.000977
655,51E0,2.234375,5025,2.018066
656,5200,2.250000,5049,2.035645
657,5220,2.265625,506C,2.052734
658,5240,2.281250,508F,2.069824
659,5260,2.296875,50B2,2.086914
660,5280,2.312500,50D5,2.104004
661,52A0,2.328125,50F9,2.121582
662,52C0,2.343750,511C,2.138672
663,52E0,2.359375,513F,2.155762
664,5300,2.375000,5162,2.172852
665,5320,2.390625,5185,2.189941
666,5340,2.406250,51A8,2.207031
667,5360,2.421875,51CC,2.224609
668,5380,2.437500,51EF,2.241699
669,53A0,2.453125,5212,2.258789
670,53C0,2.468750,5235,2.275879
671,53E0,2.484375,5258,2.292969
672,5400,2.500000,527C,2.310547
673,5420,2.515625,529F,2.327637
674,5440,2.531250,52C2,2.344727
675,5460,2.546875,52E5,2.361816
676,5480,2.562500,5308,2.378906
677,54A0,2.578125,532B,2.395996
678,54C0,2.593750,534F,2.413574
679,54E0,2.609375,5372,2.430664
680,5500,2.625000,5395,2.447754
681,5520,2.640625,53B8,2.464844
682,5540,2.656250,53DB,2.481934
683,5560,2.671875,53FE,2.499023
684,5580,2.687500,5421,2.516113
685,55A0,2.703125,5444,2.533203
686,55C0,2.718750,5467,2.550293
687,55E0,2.734375,548B,2.567871
688,5600,2.750000,54AE,2.584961
689,5620,2.765625,54D1,2.602051
690,5640,2.781250,54F4,2.619141
691,5660,2.796875,5517,2.636230
692,5680,2.812500,553A,2.653320
693,56A0,2.828125,555D,2.670410
694,56C0,2.843750,5580,2.687500
695,56E0,2.859375,55A3,2.704590
696,5700,2.875000,55C6,2.721680
697,5720,2.890625,55E8,2.738281
698,5740,2.906250,560B,2.755371
699,5760,2.921875,562E,2.772461
700,5780,2.937500,5651,2.789551
701,57A0,2.953125,5674,2.806641
702,57C0,2.968750,5697,2.823730
703,57E0,2.984375,56BA,2.840820
704,5800,3.000000,56DD,2.857910
705,5820,3.015625,56FF,2.874512
706,5840,3.031250,5722,2.891602
707,5860,3.046875,5745,2.908691
708,5880,3.062500,5768,2.925781
709,58A0,3.078125,578B,2.942871
710,58C0,3.093750,57AD,2.959473
711,58E0,3.109375,57D0,2.976562
712,5900,3.125000,57F3,2.993652
713,5920,3.140625,5815,3.010254
714,5940,3.156250,5838,3.027344
